feature,importance
frontal_occipital_alpha_connectivity,0.00403741380798021
F4_T7_delta_connectivity,0.0038265030083281092
Fp2_Pz_alpha_connectivity,0.003807452470316485
P8_Pz_theta_connectivity,0.003724357957397054
T8_P7_theta_connectivity,0.0037185279025984913
O1_F7_alpha_connectivity,0.003709249309591916
O1_Fz_alpha_connectivity,0.003695507131194191
P3_T7_theta_connectivity,0.003657707312353177
P3_Pz_alpha_connectivity,0.0036181956129101318
F7_Cz_alpha_connectivity,0.003476202604914945
P4_P8_delta_connectivity,0.003429344422281441
C4_Pz_alpha_connectivity,0.003319140384537143
C4_O2_alpha_connectivity,0.003293398741476099
F3_O1_alpha_connectivity,0.003221961935091246
F3_P4_theta_connectivity,0.0032187731239079333
F4_C4_alpha_connectivity,0.003101660923731182
F3_O2_alpha_connectivity,0.003064979501016104
O2_P7_theta_connectivity,0.0030350468881111237
F4_Cz_theta_connectivity,0.0029875990157316123
C3_O1_beta_connectivity,0.002971600096777892
P3_P8_alpha_connectivity,0.0029658232622374733
P3_T7_alpha_connectivity,0.0028957299068187036
C3_P3_theta_connectivity,0.0028758665094680454
central_temporal_theta_connectivity,0.0028741056095154685
O1_Pz_theta_connectivity,0.002868074685559036
Fp1_P8_delta_connectivity,0.002715548274919603
Fp1_F7_beta_connectivity,0.0026090331983670964
T7_Pz_alpha_connectivity,0.0025998970939267807
O1_T7_alpha_connectivity,0.002582014143686378
temporal_occipital_alpha_connectivity,0.0025405833193720335
F3_C4_beta_connectivity,0.002498656411511851
F3_C4_theta_connectivity,0.0024445394069095125
F4_Cz_alpha_connectivity,0.0024097945707765053
F3_C3_delta_connectivity,0.0023774300268921437
Fp1_C4_theta_connectivity,0.0023589674167875984
central_occipital_theta_connectivity,0.002356483387164535
C4_P7_theta_connectivity,0.0023068691750123865
Fp1_Fz_theta_connectivity,0.0022463248422850786
P3_P7_theta_connectivity,0.0021914281140892854
F3_C4_alpha_connectivity,0.0021184718391843234
frontal_occipital_theta_connectivity,0.0020955179031703487
F7_P8_delta_connectivity,0.0020352434997414357
F8_T8_beta_connectivity,0.002018535712202651
F4_C4_theta_connectivity,0.0019904559870599927
F3_O2_theta_connectivity,0.001963602084706861
C4_O1_theta_connectivity,0.0019635147423933256
O2_Cz_beta_connectivity,0.0019321775228859984
Fp2_T8_beta_connectivity,0.001929899923281368
central_temporal_alpha_connectivity,0.0019275072291758473
F4_C4_beta_connectivity,0.0019171422884451464
C3_O2_beta_connectivity,0.0019117533704249264
Fp1_O2_theta_connectivity,0.0019082466517273374
F7_F8_beta_connectivity,0.0018831301954043542
frontal_central_beta_connectivity,0.0018704260353673509
C3_T7_alpha_connectivity,0.0018613447747005973
parietal_occipital_delta_connectivity,0.0018299844125096796
O2_F7_delta_connectivity,0.001824326585234054
P3_O2_alpha_connectivity,0.0017585668786705311
F3_Cz_alpha_connectivity,0.0017493866484703973
O1_T8_theta_connectivity,0.0017487211602679983
Fp1_O2_alpha_connectivity,0.0017326319431689215
frontal_central_alpha_connectivity,0.0017177440546865589
O1_P7_beta_connectivity,0.0016924847423971988
O2_P8_delta_connectivity,0.0016709140259629348
O2_P7_alpha_connectivity,0.0016642826883606211
T7_Pz_theta_connectivity,0.0016640757497953346
frontal_central_theta_connectivity,0.001646032589714441
Fp2_C4_theta_connectivity,0.001640706522096495
Fp2_O2_alpha_connectivity,0.001617134250891116
F3_T8_beta_connectivity,0.0015892114810400683
T7_P8_theta_connectivity,0.0015642781360671481
T8_Cz_alpha_connectivity,0.0015585907381634907
P4_O2_beta_connectivity,0.0015543141844741625
P4_O1_beta_connectivity,0.001552489709095042
F4_P3_beta_connectivity,0.001501329948567949
Cz_Pz_alpha_connectivity,0.0014977483523130979
P8_Fz_alpha_connectivity,0.0014971836117343884
P3_Fz_alpha_connectivity,0.0014887211130479457
F3_C3_theta_connectivity,0.0014869353517982249
F7_T7_beta_connectivity,0.0014842559437949325
F8_T8_delta_connectivity,0.0014782160866215525
O1_P7_alpha_connectivity,0.0014755926059479448
F7_P8_theta_connectivity,0.0014470759188716382
Fp2_Cz_delta_connectivity,0.0014446963172034385
Fp1_F8_beta_connectivity,0.001443166824159435
F3_F8_beta_connectivity,0.001441403180854329
F7_P7_beta_connectivity,0.001438588502233316
F4_F8_beta_connectivity,0.0014087439603144099
parietal_occipital_alpha_connectivity,0.0014073360447846084
C3_Fz_delta_connectivity,0.0014048194958855113
F3_F4_beta_connectivity,0.0014022539966627092
C3_P3_alpha_connectivity,0.001387744845268934
Cz_Pz_beta_connectivity,0.0013775918752231926
P4_Pz_delta_connectivity,0.001366118572728169
F4_Pz_alpha_connectivity,0.0013612281691661747
central_parietal_alpha_connectivity,0.0013587805922280472
Fp1_Pz_beta_connectivity,0.0013580438129069759
Fp2_C3_alpha_connectivity,0.0013571682972938013
O1_T7_theta_connectivity,0.0013366211278067971
P3_P4_beta_connectivity,0.001314448536705396
C3_Pz_alpha_connectivity,0.0012755632446180911
